mode,make,model,colour,offence,district,disposal,date,location
Cyclist,Ford,TRANSIT,SILVER,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-06-01T00:00:00Z,"NEW LINE, GREENGATES, BRADFORD"
Cyclist,Hyundai,KONA,GREY,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-06-01T00:00:00Z,"New Road Side, Horsforth, Leeds"
Cyclist,Ford,MONDEO,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"New Road, Todmorden"
Cyclist,Fiat,500,ORANGE,N/A,LD,NFA,2023-06-01T00:00:00Z,"New Road, Yeadon, Leeds"
Cyclist,Land Rover,DISCOVERY,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"New York Street, Leeds city centre"
Vehicle driver,Ford,TRANSIT,RED,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2023-06-01T00:00:00Z,"Newstead Lane, Fitzwilliam, Pontefract"
Vehicle driver,BMW,218D,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2023-06-01T00:00:00Z,Newton Lane CASTLEFORD
Vehicle driver,Volvo,S80,GOLD,RT88971 Fail to comply with Red traffic light,LD,Conditional Offer,2023-06-01T00:00:00Z,"Newton Lane, Newton, Castleford"
Vehicle driver,Mercedes -Benz,UNKNOWN,WHITE,RT88575 Drive without due care and attention,WD,Conditional Offer,2023-06-01T00:00:00Z,"NINELANDS LANE, GARFORTH, LEEDS"
Cyclist,BMW,M4,RED,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Ninelands Lane, Garforth, Leeds"
Vehicle driver,Suzuki,ALTO,RED,RT88575 Drive without due care and attention,BD,Educational Course,2023-06-01T00:00:00Z,"Ninelands Lane, Garforth, Leeds"
Cyclist,DaF TRUCKS,UNKNOWN,WHITE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Norman Lane, Bradford"
Vehicle driver,YAMAHA,UNKNOWN,BLUE,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2023-06-01T00:00:00Z,"Norman Lane, Bradford"
Pedestrian,BMW,420D,WHITE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"North Road, Ravensthorpe"
Vehicle driver,Nissan,QASHQAI,WHITE,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"NORTH STREET, LEEDS"
Cyclist,Seat,LEON,RED,RT88575 Drive without due care and attention,CD,Educational Course,2023-06-01T00:00:00Z,"Northern Street, Leeds"
Pedestrian,Mercedes -Benz,C220,BLUE,RC86814 Driver not in proper control of vehicle,LD,Educational Course,2023-06-01T00:00:00Z,"NORTHFIELD LANE, HORBURY, WAKEFIELD"
Vehicle driver,Toyota,AYGO,SILVER,RT88575 Drive without due care and attention,KD,Educational Course,2023-06-01T00:00:00Z,"NORTHFIELD LANE, HORBURY, WAKEFIELD"
Vehicle driver,DaF TRUCKS,UNKNOWN,WHITE,ME82015 Draw trailer in offside lane of motorway,WD,Educational Course,2023-06-01T00:00:00Z,"Northgate, Huddersfield"
Cyclist,Ford,FIESTA,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-06-01T00:00:00Z,ntry slip road junction 32 M62 west
Vehicle driver,Ford,TRANSIT,WHITE,N/A,CD,NFA,2023-06-01T00:00:00Z,"OAKWOOD LANE, LEEDS"
Vehicle driver,Volkswagen,TIGUAN,BLACK,N/A,CD,NFA,2023-06-01T00:00:00Z,"Oakwood Lane, Leeds"
Pedestrian,Toyota,AURIS,BRONZE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"Oakworth Road, Keighley"
Pedestrian,Unknown,UNKNOWN,UNKNOWN,N/A,LD,NFA,2023-06-01T00:00:00Z,Odsal Roundabout - Halifax Road Bradford
Pedestrian,Toyota,PRIUS,GREY,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"Old Bank Road, Mirfield"
Pedestrian,Toyota,PRUIS,GREY,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"Old Great North Road, Micklefield, Leeds"
Pedestrian,Volkswagen,GOLF,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"Old Otley Road, Leeds"
Vehicle passenger,Peugeot,UNKNOWN,SILVER,N/A,LD,NFA,2023-06-01T00:00:00Z,"Old Pool Bank, Pool in Wharfedale, Leeds"
Vehicle driver,Audi,A6,BLACK,RT88971 Fail to comply with Red traffic light,WD,Educational Course,2023-06-01T00:00:00Z,"OLD ROAD junction with POPLAR GROVE, BRADFORD"
Vehicle driver,Ford,TRANSIT,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"Old Road, Farsley, Leeds"
Cyclist,Audi,A4,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Oldfield Lane, Heckmondwyke"
Cyclist,Renault,MEGANE,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Oldham Road, Sowerby Bridge, Halifax"
Vehicle driver,DaF,LGV,WHITE,N/A,WD,NFA,2023-06-01T00:00:00Z,"Olfield Lane, Leeds"
Cyclist,Peugeot,208,RED,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Orange Street, Halifax"
Cyclist,Volkswagen,POLO,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Orbital Roundabout, Leeds"
Pedestrian,Ford,FIESTA,WHITE,N/A,CD,NFA,2023-06-01T00:00:00Z,"OSMONDTHORPE LANE, LEEDS"
Vehicle driver,Mercedes -Benz,GLA 200,GREY,RT88575 Drive without due care and attention,CD,Educational Course,2023-06-01T00:00:00Z,OSSETT LANE DEWSBURY
Vehicle driver,Peugeot,208,GREY,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Lane, Leeds"
Vehicle driver,BMW,116D,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,KD,Educational Course,2023-06-01T00:00:00Z,Otley Old Road Leeds
Cyclist,BMW,X5,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, Bramhope, Leeds on the approach to the junction with Old Lane"
Pedestrian,BMW,UNKNOWN,WHITE,N/A,LD,NFA,2023-06-01T00:00:00Z,"Otley Old Road, East Carlton, Leeds"
Pedestrian,Toyota,PRIUS,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, East Carlton, Leeds"
Cyclist,Toyota,YARIS,WHITE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, East Carlton, Otley"
Vehicle driver,BMW,M340I,BLACK,RT88751 Contravene Give Way sign,WD,Conditional Offer,2023-06-01T00:00:00Z,"Otley Old Road, Ireland Wood, Leeds"
Cyclist,Volkswagen,TOURAN,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, Leeds"
Vehicle driver,Ford,PUMA,BLUE,RT88575 Drive without due care and attention,KD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, Leeds"
Cyclist,Volkswagen,ARTEON,BLACK,RT88575 Drive without due care and attention,BD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, Leeds"
Cyclist,Vauxhall,ZAFIRA,BLUE,N/A,CD,NFA,2023-06-01T00:00:00Z,"Otley Old Road, Leeds"
Vehicle passenger,Volvo,V90,SILVER,N/A,CD,NFA,2023-06-01T00:00:00Z,"Otley Old Road, Leeds"
Cyclist,SCANIA,UNKNOWN,GREY,RT88751 Contravene Give Way sign,LD,Educational Course,2023-06-01T00:00:00Z,"Otley Old Road, Otley, Leeds"
Vehicle driver,DaF TRUCKS,UNKNOWN,WHITE,N/A,KD,NFA,2023-06-01T00:00:00Z,"Otley Road , Shipley"
Vehicle driver,Ford,KUGA,WHITE,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2023-06-01T00:00:00Z,Otley Road Adel - Leeds
Horse rider,Vauxhall,GOLF,BLACK,N/A,unknown,NFA,2023-06-01T00:00:00Z,"Otley Road junction Shaw Lane, Headingley, Leeds"
Cyclist,Toyota,COROLLA,BRONZE,N/A,LD,NFA,2023-06-01T00:00:00Z,Otley Road Leeds
Cyclist,Volkswagen,POLO,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Baildon, Bradford"
Vehicle passenger,Land Rover,RANGE ROVER,GREY,N/A,LD,NFA,2023-06-01T00:00:00Z,"Otley Road, Bingley"
Vehicle driver,BMW,Unknown,CHARCOAL,N/A,LD,NFA,2023-06-01T00:00:00Z,"Otley Road, Bradford"
Vehicle driver,YAMAHA,MT 125,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Bradford"
Cyclist,Toyota,IQ,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Carlton, Leeds"
Cyclist,Nissan,QASHQAI,GREY,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, East Morton, Keighley (BD)"
Cyclist,Kia,SPORTAGE,WHITE,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Guiseley"
Cyclist,Toyota,C-HR,WHITE,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2023-06-01T00:00:00Z,"OTLEY ROAD, HEADINGLEY"
UNKNOWN,Audi,A3,BLACK,RT88575 Drive without due care and attention,KD,Court,2023-06-01T00:00:00Z,"OTLEY ROAD, HEADINGLEY, LEEDS"
Cyclist,DaF TRUCKS,UNKNOWN,RED,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"OTLEY ROAD, HEADINGLEY, LEEDS"
Cyclist,Land Rover,RANGE ROVER SPORT,BLUE,N/A,unknown,NFA,2023-06-01T00:00:00Z,"OTLEY ROAD, LAWNSWOOD ROUNDABOUT, LEEDS"
Cyclist,Honda,CR-V,SILVER,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Leeds"
Cyclist,Kia,CEED 3,WHITE,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Leeds"
Cyclist,Toyota,PRIUS,RED,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Shipley, Bradford"
Vehicle driver,Ford,TRANSIT,WHITE,ZP97003 Stop within controlled area of Pelican crossing,WD,Educational Course,2023-06-01T00:00:00Z,"Otley Road, Weetwood, Leeds"
Vehicle driver,BMW,320D,BLUE,RT88575 Drive without due care and attention,KD,Educational Course,2023-06-01T00:00:00Z,"Outcote Bank junction with A62, Ring Road, Huddersfield"
Vehicle driver,Volkswagen,GOLF,BLACK,ZP97003 Stop within controlled area of Pelican crossing,WD,Educational Course,2023-06-01T00:00:00Z,"Ovenden Road, Halifax"
Cyclist,Volkswagen,GOLF,GREY,RT88575 Drive without due care and attention,WD,Educational Course,2023-06-01T00:00:00Z,"OVENDEN ROAD, HALIFAX"
Cyclist,Toyota,AYGO,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"OWL LANE, DEWSBURY"
Vehicle driver,Mazda,CX-5,WHITE,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,BD,Conditional Offer,2023-06-01T00:00:00Z,"OWL LANE, DEWSBURY"
Vehicle driver,MULTIPLE,MULTIPLE,MULTIPLE,N/A,WD,NFA,2023-06-01T00:00:00Z,"Oxford Road, Cleackheaton"
Cyclist,Hyundai,I30,RED,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PARADISE WAY, BRAMHAM, LEEDS"
Vehicle driver,Renault,UNKNOWN,BLUE,N/A,WD,NFA,2023-06-01T00:00:00Z,"Paradise Way, Leeds"
Cyclist,Skoda,FABIA,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Lane, Keighley"
Cyclist,Honda,JAZZ,RED,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Lane, Leeds"
Cyclist,Audi,A4,SILVER,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Road West, Huddersfield"
Cyclist,Mercedes -Benz,C200,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-06-01T00:00:00Z,"Park Road West, Huddersfield"
Cyclist,Hyundai,I10,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Road, Holywell Leisure Park, Castleford"
Cyclist,Mercedes -Benz,R320L,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Road, Pontefract"
Cyclist,BMW,UNKNOWN,WHITE,N/A,KD,NFA,2023-06-01T00:00:00Z,Park Square  West Leeds
Cyclist,Mercedes -Benz,E250,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Square East, Leeds"
Horse rider,Vauxhall,GRANDLAND ELITE,BLUE,N/A,KD,NFA,2023-06-01T00:00:00Z,Park Square Leeds
Cyclist,Audi,A8,BLACK,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2023-06-01T00:00:00Z,Park Square West Leeds
Cyclist,Volkswagen,CRAFTER,WHITE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,Park Square West Leeds
Cyclist,Ford,TRANSIT,WHITE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,Park Square West Leeds
Vehicle driver,Ford,TRANSIT,WHITE,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Cyclist,PoLESTAR,SCRAMBER,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Cyclist,Seat,LEON,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,WD,Educational Course,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Cyclist,Peugeot,207,WHITE,N/A,WD,NFA,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Horse rider,Toyota,UNKNOWN,RED,N/A,unknown,NFA,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Horse rider,Volvo,UNKNOWN,SILVER,N/A,unknown,NFA,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Horse rider,Land Rover,UNKNOWN,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Horse rider,Volkswagen,UNKNOWN,BLACK,N/A,LD,NFA,2023-06-01T00:00:00Z,PARK SQUARE WEST LEEDS
Pedestrian,Renault,MEGANE,BLUE,RT88751 Contravene Give Way sign,LD,Conditional Offer,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Cyclist,Renault,ARKANA,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Cyclist,Mercedes -Benz,A220,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Unknown,UNKNOWN,BLACK OR DARK BLUE,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Land Rover,DISCOVER,BLUE,RR84171 Vehicle contravene local traffic order other than parking (e.g. bus lane),CD,Conditional Offer,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Toyota,AVENSIS,RED,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Renault,TRAFFOC,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Volkswagen,CRAFTER,WHITE,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Peugeot,BOXER,BLACK,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Cyclist,Ford,C-MAX,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Vehicle driver,Mini,ONE,BLUE,RT88971 Fail to comply with Red traffic light,WD,Educational Course,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Cyclist,BMW,X1,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Vehicle driver,BMW,320D,RED,RT88751 Contravene Give Way sign,BD,Conditional Offer,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Vehicle driver,Audi,Q3,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Horse rider,Audi,4X4,NAVY,N/A,LD,NFA,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Vehicle driver,Audi,A3,GREY,RT88971 Fail to comply with Red traffic light,LD,Conditional Offer,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Cyclist,BMW,UNKNOWN,WHITE,N/A,LD,NFA,2023-06-01T00:00:00Z,"PARK SQUARE WEST, LEEDS"
Vehicle driver,Unknown,UNKNOWN,WHITE AND GREEN,N/A,BD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Mercedes -Benz,CITAN,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,BMW,118I,WHITE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Hyundai,I10,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,BMW,UNKNOWN,GREY,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Cyclist,Seat,IBIZA,BLACK,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Peugeot,208,SILVER,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Vauxhall,CORSA,BLACK,N/A,unknown,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Vauxhall,ANTERA,BLACK,RT88575 Drive without due care and attention,WD,Educational Course,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Ford,FOCUS,SILVER,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Pedestrian,Unknown,UNKNOWN,WHITE,N/A,LD,NFA,2023-06-01T00:00:00Z,"Park Square West, Leeds"
Vehicle driver,Audi,E-TRON TECHNIK 50 QUATRO,BLACK,N/A,BD,NFA,2023-06-01T00:00:00Z,"Park Square west, Leeds"
Vehicle driver,BMW,1 SERIES,SILVER,N/A,BD,NFA,2023-06-01T00:00:00Z,"Park Street, Leeds city centre"
Vehicle driver,Vauxhall,VECTRA,SILVER,RT88760 Fail to comply with solid white lines,KD,Educational Course,2023-06-01T00:00:00Z,"PARKFIELD STREET, LEEDS"
Horse rider,Citroen,C4,GREY,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"PARKSIDE ROAD, LEEDS"
Vehicle driver,Vauxhall,CORSA,GREY,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2023-06-01T00:00:00Z,"PARKSIDE ROAD, MEANWOOD, LEEDS"
Horse rider,Tesla,MODEL 3,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PARKSIDE ROAD, MEANWOOD, LEEDS"
Vehicle driver,Ford,FIESTA,SILVER,RT88575 Drive without due care and attention,LD,Conditional Offer,2023-06-01T00:00:00Z,"Peel Street, Morley"
Horse rider,Seat,UNKNOWN,WHITE,N/A,KD,NFA,2023-06-01T00:00:00Z,"Pellon Lane, Halifax"
Cyclist,Toyota,AURIS,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Pellon Lane, Halifax"
Cyclist,Peugeot,107,WHITE,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2023-06-01T00:00:00Z,"Pellon Street, Halifax"
Horse rider,BMW,520D,SILVER,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,KD,Conditional Offer,2023-06-01T00:00:00Z,"Penistone Road, Huddersfield"
Vehicle driver,Mercedes -Benz,A200,WHITE,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,"Penistone Road, Kirkburton"
Pedestrian,Nissan,QASHQAI,GREY,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2023-06-01T00:00:00Z,"Penistone Road, Waterloo, Huddersfield"
Horse rider,Hyundai,TUCSON,SILVER,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PENNINE BRIDLEWAY, SETTLE"
Vehicle driver,Seat,LEON,SILVER,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,WD,Educational Course,2023-06-01T00:00:00Z,"Pentland Avenue, Bradford"
UNKNOWN,Audi,UNKNOWN,SILVER,N/A,BD,NFA,2023-06-01T00:00:00Z,"Pinfold Lane junction Barnsdale Road, Methley"
Horse rider,Volvo,XC90,GOLD,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Pollard Lane, Bramley, Leeds"
Pedestrian,Vauxhall,ASTRA,BLACK,N/A,LD,NFA,2023-06-01T00:00:00Z,"Pontefract Lane, East End Park, Leeds"
Vehicle driver,Unknown,UNKNOWN,MULTI,N/A,unknown,NFA,2023-06-01T00:00:00Z,"Pontefract Lane, Leeds"
Pedestrian,Nissan,QASHQAI,BLACK,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2023-06-01T00:00:00Z,"Pontefract Lane, Leeds"
Vehicle driver,Suzuki,SWIFT,GREY,RT88760 Fail to comply with solid white lines,KD,Educational Course,2023-06-01T00:00:00Z,"Pontefract Lane, Leeds"
Cyclist,Ford,TRANSIT,WHITE,RT88575 Drive without due care and attention,BD,Educational Course,2023-06-01T00:00:00Z,"PONTEFRACT ROAD, ACKWORTH"
Cyclist,Audi,Q5,BLUE,RT88575 Drive without due care and attention,WD,Educational Course,2023-06-01T00:00:00Z,"Portland Street, Huddersfield"
Cyclist,Audi,A1,WHITE,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2023-06-01T00:00:00Z,Portland Way Leeds
Vehicle driver,BMW,1 SERIES,WHITE,N/A,KD,NFA,2023-06-01T00:00:00Z,"Portland Way, Leeds"
Vehicle driver,Ford,UNKNOWN,BLUE,N/A,CD,NFA,2023-06-01T00:00:00Z,"PORTLAND WAY, LEEDS"
Cyclist,Citroen,DISPATCH,WHITE,RT88575 Drive without due care and attention,BD,Educational Course,2023-06-01T00:00:00Z,"Portland Way, Leeds"
Cyclist,Mitsubishi,SHOGUN,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"POTOVENS LANE junction with BRADFORD ROAD, OUTWOOD, WAKEFIELD"
Vehicle driver,Renault,KANGOO,WHITE,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,Potternewton Road Leeds
Vehicle driver,Seat,IBIZA,BLACK,N/A,KD,NFA,2023-06-01T00:00:00Z,"Priesthorpe Lane junc.A6120 Ring Road, Pudsey"
Horse rider,Mini,COOPER,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"PRIESTHORPE LANE junction with A6120 RING ROAD, FARSLEY"
Vehicle driver,Vauxhall,CORSA,SILVER,RT88575 Drive without due care and attention,WD,Educational Course,2023-06-01T00:00:00Z,"Princes Avenue, Leeds"
Vehicle driver,Mercedes -Benz,CLA 180,BLUE,RT88575 Drive without due care and attention,BD,Educational Course,2023-06-01T00:00:00Z,"Princess Street, Outwood"
Vehicle driver,Vauxhall,CORSA,BLACK,RT88575 Drive without due care and attention,BD,Educational Course,2023-06-01T00:00:00Z,"Prospect Road, Ossett"
Vehicle driver,BMW,330E,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,Providence Street Bradford
Vehicle driver,Seat,LEON,GREY,N/A,LD,NFA,2023-06-01T00:00:00Z,"Providence Street, Bradford"
Vehicle driver,Vauxhall,CROSSLAND X,GREY,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"PRUNE PARK LANE, ALLERTON, BRADFORD"
Vehicle driver,Volkswagen,TIGUAN,WHITE,RT88575 Drive without due care and attention,LD,Educational Course,2023-06-01T00:00:00Z,QUARMBY ROAD HUDDERSFIELD
Cyclist,Audi,Q3 S LINE,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Queen Street J/W Castleford Road, Normanton"
Pedestrian,Vauxhall,COMBO,RED,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,LD,Conditional Offer,2023-06-01T00:00:00Z,"Queens Road, Bradford"
Cyclist,Mercedes -Benz,C220,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-06-01T00:00:00Z,"Queens Road, Bradford junction with Kings Road"
Pedestrian,Renault,AUSTRAL,GREY AND BLACK,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Queens Road, Halifax"
Pedestrian,Citroen,C4,SILVER,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Queens Road, Halifax"
Pedestrian,Hyundai,BAYON,BRONZE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Queens Road, Halifax"
Pedestrian,BMW,UNKNOWN,BLUE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2023-06-01T00:00:00Z,"Queens Road, Halifax"
Vehicle driver,Audi,A3 SPORT,GREY,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-06-01T00:00:00Z,"QUEENS ROAD, HALIFAX"
Vehicle driver,Volvo,UNKNOWN,WHITE,N/A,BD,NFA,2023-06-01T00:00:00Z,"Queensgate, Huddersfield"
Vehicle driver,Mini,UNKNOWN,BLACK,N/A,LD,NFA,2023-06-01T00:00:00Z,QUEENSWOOD DRIVE LEEDS
