mode,make,model,colour,offence,district,disposal,date,location
Vehicle driver,Mini,Unknown,White,N/A,WD,NFA,2023-10-01T00:00:00Z,"A6038 Bradford Road, Guiseley, Leeds"
Cyclist,Volkswagen,Tiguan,Grey,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,BD,Conditional Offer,2023-10-01T00:00:00Z,"A6038 Bradford Road, Otley"
Cyclist,Citroen,C4,Grey,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A6038 Hollins Hill, Baildon"
Vehicle driver,Nissan,Qashqai,Black,ZP97005 Overtake within limits of Pelican crossing,CD,Conditional Offer,2023-10-01T00:00:00Z,"A6038 Hollins Hill, Guiseley, Leeds"
Cyclist,Skoda,Citigo,White,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A6038 Otley Road, Baildon"
Cyclist,Skoda,Unknown,Silver,N/A,CD,NFA,2023-10-01T00:00:00Z,"A6068 Main Street, Cross Hills, Keighley"
Vehicle driver,Mercedes -Benz,CLA 180,WHITE,RT88575 Drive without due care and attention,BD,Conditional Offer,2023-10-01T00:00:00Z,"A61 Barnsley Road, Newmillerdam, Wakefield"
Cyclist,Audi,A5,GREY,RT88575 Drive without due care and attention,KD,Educational Course,2023-10-01T00:00:00Z,"A61 Doncaster Road, Wakefield"
Cyclist,Ford,RANGER,WHITE,N/A,CD,NFA,2023-10-01T00:00:00Z,"A61 DUKE STREET, LEEDS"
Vehicle driver,Volkswagen,UNKNOWN,BLACK,N/A,BD,NFA,2023-10-01T00:00:00Z,"A61 East Street, Leeds city centre"
Vehicle driver,VauC,CORSA,RED,N/A,CD,NFA,2023-10-01T00:00:00Z,A61 Harrogate
Vehicle driver,Vauxhall,MERIVA,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2023-10-01T00:00:00Z,"A61 Harrogate Road J/W A6120 Ring Road, Moortown, Leeds"
Vehicle driver,Ford,FIESTA,SILVER,N/A,LD,NFA,2023-10-01T00:00:00Z,"A61 Harrogate Road, Leeds"
